Country	State	Bioregion	Dataset	Site.Name	Unit.Code	Year	Unit.Dimensions_m	Unit.Area_ha	Xutm_m	Yutm_m	UTM.Zone	paulAGB.Mean_mg/ha	chaveAGB.Mean_mg/ha	chaveAGB.Cred2.5_mg/ha	chaveAGB.Cred97.5_mg/ha	TCH_m
Australia	New South Wales	3	Supersite	Tumbarumba	Tumbarumba	2015	100x100	1	604251.9	6053602.7	55	360.9	na	na	na	19.541
Australia	New South Wales	3	Supersite	Tumbarumba	Tumbarumba_0_0	2015	50x50	0.25	604226.6	6053578	55	358.9	na	na	na	18.67
Australia	New South Wales	3	Supersite	Tumbarumba	Tumbarumba_0_1	2015	50x50	0.25	604227.2	6053628	55	375.9	na	na	na	17.728
Australia	New South Wales	3	Supersite	Tumbarumba	Tumbarumba_1_0	2015	50x50	0.25	604276.6	6053577.4	55	336.7	na	na	na	21.906
Australia	New South Wales	3	Supersite	Tumbarumba	Tumbarumba_1_1	2015	50x50	0.25	604277.2	6053627.4	55	371.9	na	na	na	19.862
Australia	Queensland	7	Injune	Injune	p023s15	2000	50x50	0.25	543478.1	7195630.2	55	67	na	na	na	7.487
Australia	Queensland	7	Injune	Injune	p023s16	2000	50x50	0.25	543527.5	7195623.3	55	53.9	na	na	na	4.763
Australia	Queensland	7	Injune	Injune	p023s20	2000	50x50	0.25	543729.5	7195644.7	55	87.1	na	na	na	1.288
Australia	Queensland	7	Injune	Injune	p023s24	2000	50x50	0.25	543428.1	7195579.6	55	82.7	na	na	na	6.495
Australia	Queensland	7	Injune	Injune	p058s24	2000	50x50	0.25	561953.5	7183570.7	55	54.6	na	na	na	3.911
Australia	Queensland	7	Injune	Injune	p058s29	2000	50x50	0.25	562197	7183565.2	55	73.1	na	na	na	4.167
Australia	Queensland	7	Injune	Injune	p081s08	2000	50x50	0.25	536222.6	7171673.7	55	76.7	na	na	na	6.369
Australia	Queensland	7	Injune	Injune	p081s11	2000	50x50	0.25	535877.3	7171641.3	55	106.5	na	na	na	8.103
Australia	Queensland	7	Injune	Injune	p081s16	2000	50x50	0.25	536113.1	7171631.8	55	85.8	na	na	na	6.694
Australia	Queensland	7	Injune	Injune	p083s12	2000	50x50	0.25	543290.9	7171572.2	55	23.7	na	na	na	2.213
Australia	Queensland	7	Injune	Injune	p083s20	2000	50x50	0.25	543713.8	7171624.5	55	60.6	na	na	na	4.155
Australia	Queensland	7	Injune	Injune	p111s12	2000	50x50	0.25	535920	7159651.4	55	98.6	na	na	na	6.917
Australia	Queensland	7	Injune	Injune	p111s18	2000	50x50	0.25	536214.7	7159644.7	55	100.4	na	na	na	8.696
Australia	Queensland	7	Injune	Injune	p114s04	2000	50x50	0.25	547125.7	7159666.1	55	77.9	na	na	na	3.468
Australia	Queensland	7	Injune	Injune	p114s12	2000	50x50	0.25	547016.2	7159593.2	55	24.9	na	na	na	2.099
Australia	Queensland	7	Injune	Injune	p124s06	2000	50x50	0.25	547211.8	7155659.2	55	73.6	na	na	na	4.263
Australia	Queensland	7	Injune	Injune	p124s19	2000	50x50	0.25	547380.5	7155597.3	55	112.9	na	na	na	4.711
Australia	Queensland	7	Injune	Injune	p131s18	2000	50x50	0.25	536245.8	7151618.5	55	35.8	na	na	na	1.355
Australia	Queensland	7	Injune	Injune	p138s16	2000	50x50	0.25	562050.2	7151600.4	55	45.2	na	na	na	4.499
Australia	Queensland	7	Injune	Injune	p138s21	2000	50x50	0.25	561784.1	7151564.2	55	52.4	na	na	na	4.228
Australia	Queensland	7	Injune	Injune	p138s28	2000	50x50	0.25	562141.7	7151529.6	55	82.3	na	na	na	3.377
Australia	Queensland	7	Injune	Injune	p142s02	2000	50x50	0.25	539627.1	7147640.5	55	34.3	na	na	na	2.388
Australia	Queensland	7	Injune	Injune	p142s13	2000	50x50	0.25	539675.2	7147591.6	55	38	na	na	na	4.06
Australia	Queensland	7	Injune	Injune	p142s18	2000	50x50	0.25	539927.4	7147593.3	55	67.8	na	na	na	4.354
Australia	Queensland	7	Injune	Injune	p142s20	2000	50x50	0.25	540036.4	7147595.1	55	49.3	na	na	na	4.487
Australia	Queensland	7	Injune	Injune	p144s135	2000	50x50	0.25	547100	7147571.4	55	97.8	na	na	na	5.557
Australia	Queensland	7	Injune	Injune	p144s19	2000	50x50	0.25	547389.2	7147557.5	55	46.2	na	na	na	3.688
Australia	Queensland	7	Injune	Injune	p148s01	2000	50x50	0.25	561756	7147653.6	55	52.2	na	na	na	5.076
Australia	Queensland	7	Injune	Injune	p148s16	2000	50x50	0.25	562011.9	7147567.5	55	63.9	na	na	na	6.172
Australia	Queensland	7	Injune	Injune	p148s21	2000	50x50	0.25	561732.3	7147544.5	55	58.6	na	na	na	3.908
Australia	Queensland	7	Injune	Injune	p148s29	2000	50x50	0.25	562177.5	7147538	55	61.2	na	na	na	5.505
Australia	Queensland	88	Supersite	Robson Creek	RobsonCreekH01	2012	100x100	1	354300	8106450	55	218.6	353.6	329.4	379.4	24.22
Australia	Queensland	88	Supersite	Robson Creek	RobsonCreekH01_0_0	2012	50x50	0.25	354275	8106425	55	203.2	313.6	272.5	368.9	24.431
Australia	Queensland	88	Supersite	Robson Creek	RobsonCreekH01_0_1	2012	50x50	0.25	354275	8106475	55	225.5	354.4	305.2	415.1	24.653
Australia	Queensland	88	Supersite	Robson Creek	RobsonCreekH01_1_0	2012	50x50	0.25	354325	8106425	55	231.2	392.6	350.6	442.8	24.814
Australia	Queensland	88	Supersite	Robson Creek	RobsonCreekH01_1_1	2012	50x50	0.25	354325	8106475	55	214.5	354	316.6	400	22.984
Australia	Queensland	88	Supersite	Robson Creek	RobsonCreekH02	2012	100x100	1	354400	8106450	55	240	397.5	374.9	422.7	24.421
Australia	Queensland	88	Supersite	Robson Creek	RobsonCreekH02_0_0	2012	50x50	0.25	354375	8106425	55	239.6	428.1	388.5	474.6	24.245
Australia	Queensland	88	Supersite	Robson Creek	RobsonCreekH02_0_1	2012	50x50	0.25	354375	8106475	55	291.4	453.5	403.5	513.6	25.231
Australia	Queensland	88	Supersite	Robson Creek	RobsonCreekH02_1_0	2012	50x50	0.25	354425	8106425	55	221.8	357.3	318.3	400.4	24.047
